date,sales
2021-01-01,63473
2021-02-01,57967
2021-03-01,63609
2021-04-01,62593
2021-05-01,66993
2021-06-01,65591
2021-07-01,67853
2021-08-01,67414
2021-09-01,65925
2021-10-01,68458
2021-11-01,67787
2021-12-01,72364
2022-01-01,68645
2022-02-01,62914
2022-03-01,69207
2022-04-01,69280
2022-05-01,72406
2022-06-01,71739
2022-07-01,73433
2022-08-01,72174
2022-09-01,70554
2022-10-01,72959
2022-11-01,73557
2022-12-01,77566
2023-01-01,71401
2023-02-01,66738
2023-03-01,72628
2023-04-01,71428
2023-05-01,74526
2023-06-01,72344
2023-07-01,74151
2023-08-01,74166
2023-09-01,72032
2023-10-01,72725
2023-11-01,74018
2023-12-01,77484
2024-01-01,72355
2024-02-01,68885
2024-03-01,74506
2024-04-01,70496
2024-05-01,76465
2024-06-01,73686
2024-07-01,75931
2024-08-01,75923
2024-09-01,72532
2024-10-01,75667
2024-11-01,76232
2024-12-01,78601
2025-01-01,76065
2025-02-01,69314
2025-03-01,75275
2025-04-01,NA
2025-05-01,NA
2025-06-01,NA
2025-07-01,NA
2025-08-01,NA
2025-09-01,NA
2025-10-01,NA
2025-11-01,NA
2025-12-01,NA
